Name,Followers,Stance,Sex,Handle,Tweets,Responses,std,Max.responses,Min.respos,Ave.Response,Resp.Freq,deleted,closed,protected,suspended,Conv.0,Conv.1,Conv.2,Conv.3,Conv.4,Conv.5,Conv.6,Conv.7,Conv.8,Conv.9,Conv.10,Conv.11,Conv.12,Conv.13,Conv.14,Conv.15,Conv.16,Conv.17,Conv.18,Conv.19,Conv.20,Conv.21,Conv.22,Conv.23,Conv.24,Conv.25,Conv.26,Conv.27,Conv.28,Conv.29,Conv.30,Conv.31,Conv.32,Conv.33,Conv.34,Conv.35,Conv.36,Conv.37,Conv.38,Conv.39,Conv.40,Conv.41,Conv.42,Conv.43,Conv.44,Conv.45,Conv.46,Conv.47,Conv.48,Conv.49,Conv.50,Conv.51,Conv.52,Conv.53,Conv.54,Conv.55,Conv.56,Conv.57,Conv.58,Conv.59,Conv.60,Conv.61,Conv.62,Conv.63,Conv.64,Conv.65,Conv.66,Conv.67,Conv.68,Conv.69,Conv.70,Conv.71,Conv.72,Conv.73,Conv.74
Matt Yglesias,349536,liberal,male,mattyglesias,37,1320,31.00,99,5,35.68,99:5,42,27,11,3,0,0,0,1,1,2,0,0,0,0,4,0,1,2,1,1,1,0,0,0,0,3,4,1,0,0,0,1,0,1,0,1,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Judd,326087,liberal,female,AshleyJudd,42,583,10.93,39,1,13.88,2:4,48,10,4,33,1,0,0,0,0,1,1,0,5,2,0,1,0,0,0,0,4,0,1,0,2,7,0,1,1,0,1,0,3,1,0,1,7,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Huffington,2812153,liberal,female,ariannahuff,63,169,2.75,18,0,2.68,1:17,6,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
Martha Maccallum,363550,unknown,female,marthamaccallum,61,3194,36.66,99,3,52.36,99:18,165,66,16,79,1,0,2,3,6,0,4,4,0,0,0,0,1,4,3,1,0,0,3,1,1,0,6,3,2,0,5,3,14,11,2,2,0,2,5,2,3,12,0,0,2,0,1,1,2,0,2,13,1,0,6,6,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,,,
Maureen Dowd,637499,liberal,female,maureendowd,50,1771,30.60,99,1,35.42,99:6,54,32,2,16,0,5,0,0,2,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,7,0,0,0,0,0,2,0,2,1,1,3,0,1,2,0,3,1,0,2,0,0,4,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Charles M. Blow,401132,liberal,male,charlesmblow,30,1440,35.04,99,0,48.00,99:6,51,32,13,6,2,4,2,1,1,1,2,1,2,2,0,1,1,1,1,0,0,0,1,1,1,0,2,0,1,0,0,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barack Obama,95642271,liberal,male,BarackObama,60,5714,9.57,99,62,95.23,99:51,233,110,51,62,3,0,3,2,4,2,1,2,0,1,6,2,5,7,1,6,4,2,2,4,7,4,1,3,1,4,2,1,1,1,4,0,3,4,6,4,1,6,2,1,5,1,3,1,3,7,2,1,5,2,1,1,1,4,6,7,1,4,3,1,,,,,,,,,,,,,,,
John Dickerson,2216034,liberal,male,jdickerson,41,602,19.29,99,1,14.68,5:7,14,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy Tur,386305,unknown,female,katyturnbc,21,1187,38.89,99,4,56.52,99:9,36,19,10,7,4,0,0,1,1,0,1,1,1,5,0,0,2,1,0,1,0,2,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loretta Lynch,136219,liberal,female,aglynch,64,4359,30.39,99,8,68.11,99:26,188,66,43,71,0,2,0,1,0,2,5,5,3,3,2,0,0,0,2,3,4,4,1,1,8,4,1,0,0,0,0,0,1,0,1,0,5,9,3,1,2,0,2,1,3,3,0,2,5,4,4,3,0,3,0,1,2,5,3,0,0,7,1,5,1,5,1,3,,,,,,,,,,,
Mary Katharine Ham,210335,conservative,female,mkhammer,37,1233,31.29,99,2,33.32,3:3,38,20,8,9,3,0,0,0,0,1,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,3,5,0,0,2,0,2,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ta-Nehisi Coates,1092634,liberal,male,tanehisicoates,58,1035,21.36,99,0,17.84,8:4,43,30,4,9,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,2,0,2,0,0,1,0,1,0,1,0,0,5,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2,2,9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
David Folkenflik,70788,unknown,male,davidfolkenflik,13,75,6.05,21,0,5.77,1:3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
