Name,Followers,Stance,Sex,Handle,Tweets,Responses,std,Max.responses,Min.respos,Ave.Response,Resp.Freq,deleted,closed,protected,suspended,Conv.0,Conv.1,Conv.2,Conv.3,Conv.4,Conv.5,Conv.6,Conv.7,Conv.8,Conv.9,Conv.10,Conv.11,Conv.12,Conv.13,Conv.14,Conv.15,Conv.16,Conv.17,Conv.18,Conv.19,Conv.20,Conv.21,Conv.22,Conv.23,Conv.24,Conv.25,Conv.26,Conv.27,Conv.28,Conv.29,Conv.30,Conv.31,Conv.32,Conv.33,Conv.34,Conv.35,Conv.36,Conv.37,Conv.38,Conv.39,Conv.40,Conv.41,Conv.42,Conv.43,Conv.44,Conv.45,Conv.46,Conv.47,Conv.48,Conv.49,Conv.50,Conv.51,Conv.52,Conv.53,Conv.54,Conv.55,Conv.56,Conv.57,Conv.58,Conv.59,Conv.60,Conv.61,Conv.62,Conv.63,Conv.64,Conv.65,Conv.66,Conv.67,Conv.68,Conv.69,Conv.70,Conv.71,Conv.72,Conv.73,Conv.74
Bill O'Reilly,2583490,conservative,male,billoreilly,65,6225,12.88,99,22,95.77,99:59,239,102,53,74,1,1,3,4,3,1,0,4,3,2,5,2,2,2,3,2,6,6,2,4,3,2,9,4,2,3,2,1,4,1,4,4,1,2,1,1,5,1,4,2,6,4,4,6,5,3,3,0,9,3,0,3,1,2,1,0,0,1,2,2,2,1,4,1,1,,,,,,,,,,
Larry Sabato,118714,unknown,male,LarrySabato,50,728,24.87,99,0,14.56,1:9,17,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Mitchell,1494872,liberal,female,mitchellreports,30,1344,37.58,99,2,44.80,99:7,74,43,12,17,1,2,8,0,6,0,0,0,3,1,4,3,0,0,0,2,5,4,1,0,5,0,7,0,0,0,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dana Perino,1694653,conservative,female,danaperino,30,1566,33.52,99,3,52.20,99:6,83,45,8,30,6,2,0,2,2,3,4,5,4,0,3,0,2,0,0,1,2,1,3,5,1,0,4,2,2,8,6,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Palin,1472183,conservative,female,sarahpalinusa,73,4879,29.65,99,7,66.84,99:23,269,122,46,92,1,4,2,0,0,4,3,5,1,1,3,4,2,3,4,2,3,2,4,6,3,4,1,4,5,2,4,15,0,2,2,10,3,1,2,1,2,2,0,0,2,2,5,1,2,3,1,1,8,3,0,4,6,2,1,2,1,2,11,1,1,2,0,2,5,3,2,2,0,0,7,4,11,,
Jonathan Capehart,261363,liberal,male,capehartj,45,795,22.21,96,0,17.67,7:7,25,10,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Lahren,845616,conservative,female,tomilahren,39,3817,5.18,99,69,97.87,99:37,283,137,35,106,7,2,8,6,8,4,8,1,6,7,5,5,6,2,7,26,2,3,9,5,5,8,9,6,3,8,14,26,1,2,3,3,8,6,1,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Faulkner,199453,conservative,female,harrisfaulkner,15,594,37.04,99,7,39.60,99:4,32,14,11,7,0,1,1,0,0,5,0,1,1,3,2,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel Maddow,8420802,liberal,female,maddow,18,1674,14.46,99,44,93.00,99:14,75,37,10,24,3,1,3,3,5,3,4,1,4,0,2,3,8,4,6,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Couric,1798080,liberal,female,katiecouric,49,490,16.75,99,0,10.00,0:9,17,12,4,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Markos Moulitsas,171182,liberal,male,markos,8,70,6.55,24,1,8.75,1:1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence O'Donnell,2211914,liberal,male,lawrence,18,854,32.04,99,10,47.44,99:4,34,16,9,7,3,0,5,0,4,3,2,1,1,2,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diane Sawyer,902267,liberal,female,dianesawyer,45,2650,33.22,99,9,58.89,99:12,59,34,13,11,2,0,0,0,0,2,1,0,1,1,0,1,1,2,0,1,0,0,0,0,4,0,0,9,0,0,0,0,2,0,2,0,7,1,2,0,0,0,0,1,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Smith,487977,liberal,male,michaelsmith,20,224,13.52,52,0,11.20,3:3,9,3,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirsten Powers,252744,liberal,female,kirstenpowers,40,1858,35.22,99,4,46.45,99:10,68,36,11,21,3,0,0,6,2,0,1,0,0,0,0,1,5,0,3,4,1,0,0,6,2,0,0,2,1,2,1,0,0,1,0,0,3,4,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Guilfoyle,1265839,conservative,female,kimguilfoyle,51,3650,30.04,99,11,71.57,99:20,162,71,50,41,2,0,0,2,2,4,2,0,3,3,4,0,7,2,1,1,1,2,1,0,1,2,4,2,0,2,2,3,4,5,3,2,4,0,2,0,7,0,0,2,1,3,0,4,0,5,8,4,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Andy Levy,223824,conservative,male,andylevy,8,129,9.35,32,4,16.12,32:1,3,3,0,0,0,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Sullivan,120965,conservative,male,sullydish,45,699,21.62,99,0,15.53,8:5,23,8,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aparna Nancherla,258099,unknown,female,aparnapkin,27,878,31.53,99,1,32.52,16:3,49,35,11,3,0,0,0,0,1,0,0,0,4,2,8,0,1,1,1,1,9,4,0,0,1,3,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Cavuto,554104,conservative,male,teamcavuto,45,1899,33.96,99,4,42.20,99:8,59,30,9,17,2,3,0,0,3,1,1,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,2,0,3,4,1,0,0,1,2,6,1,2,1,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Noah,7656225,liberal,male,trevornoah,38,2844,30.33,99,15,74.84,99:19,108,74,25,9,3,7,6,2,2,3,4,3,0,0,0,2,0,2,7,0,1,3,0,0,1,7,4,3,0,2,5,0,1,0,2,1,0,1,1,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Frum,538756,conservative,male,davidfrum,38,2599,35.00,99,8,68.39,99:19,102,66,20,13,0,3,0,1,0,1,1,2,2,0,1,1,6,7,5,1,2,1,5,11,2,0,7,1,0,0,4,1,3,1,1,4,1,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Tantaros,505607,conservative,female,andreatantaros,66,5833,19.40,99,14,88.38,99:41,82,36,18,26,1,0,1,0,1,4,1,2,0,1,1,1,0,1,4,0,2,0,0,1,0,0,2,0,2,0,1,0,5,0,1,1,2,0,2,1,1,0,1,1,1,1,1,0,4,0,0,0,0,1,1,2,0,0,1,0,1,2,0,0,2,2,2,0,0,0,,,,,,,,,
Donna Brazile,649630,liberal,female,donnabrazile,37,1158,28.72,99,3,31.30,3:3,112,61,10,40,3,6,1,1,2,1,3,1,0,3,2,9,4,5,3,7,5,2,0,0,0,2,2,0,1,7,4,3,1,3,2,4,7,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
